field,zone,name,spaceType,version,colNumber,rowNumber,positionColNumber,positionRowNumber
新莊棒球場,A13,,seat,1.0.0,1,5,1,5
新莊棒球場,A13,,seat,1.0.0,1,6,1,6
新莊棒球場,A13,,seat,1.0.0,1,7,1,7
新莊棒球場,A13,,seat,1.0.0,1,8,1,8
新莊棒球場,A13,,seat,1.0.0,1,9,1,9
新莊棒球場,A13,,seat,1.0.0,1,10,1,10
新莊棒球場,A13,,seat,1.0.0,1,11,1,11
新莊棒球場,A13,,seat,1.0.0,1,12,1,12
新莊棒球場,A13,,seat,1.0.0,1,13,1,13
新莊棒球場,A13,,seat,1.0.0,1,14,1,14
新莊棒球場,A13,,seat,1.0.0,1,15,1,15
新莊棒球場,A13,,seat,1.0.0,1,16,1,16
新莊棒球場,A13,,seat,1.0.0,1,17,1,17
新莊棒球場,A13,,seat,1.0.0,2,5,2,5
新莊棒球場,A13,,seat,1.0.0,2,6,2,6
新莊棒球場,A13,,seat,1.0.0,2,7,2,7
新莊棒球場,A13,,seat,1.0.0,2,8,2,8
新莊棒球場,A13,,seat,1.0.0,2,9,2,9
新莊棒球場,A13,,seat,1.0.0,2,10,2,10
新莊棒球場,A13,,seat,1.0.0,2,11,2,11
新莊棒球場,A13,,seat,1.0.0,2,12,2,12
新莊棒球場,A13,,seat,1.0.0,2,13,2,13
新莊棒球場,A13,,seat,1.0.0,2,14,2,14
新莊棒球場,A13,,seat,1.0.0,2,15,2,15
新莊棒球場,A13,,seat,1.0.0,2,16,2,16
新莊棒球場,A13,,seat,1.0.0,2,17,2,17
新莊棒球場,A13,,seat,1.0.0,3,5,3,5
新莊棒球場,A13,,seat,1.0.0,3,6,3,6
新莊棒球場,A13,,seat,1.0.0,3,7,3,7
新莊棒球場,A13,,seat,1.0.0,3,8,3,8
新莊棒球場,A13,,seat,1.0.0,3,9,3,9
新莊棒球場,A13,,seat,1.0.0,3,10,3,10
新莊棒球場,A13,,seat,1.0.0,3,11,3,11
新莊棒球場,A13,,seat,1.0.0,3,12,3,12
新莊棒球場,A13,,seat,1.0.0,3,13,3,13
新莊棒球場,A13,,seat,1.0.0,3,14,3,14
新莊棒球場,A13,,seat,1.0.0,3,15,3,15
新莊棒球場,A13,,seat,1.0.0,3,16,3,16
新莊棒球場,A13,,seat,1.0.0,3,17,3,17
新莊棒球場,A13,,seat,1.0.0,4,5,4,5
新莊棒球場,A13,,seat,1.0.0,4,6,4,6
新莊棒球場,A13,,seat,1.0.0,4,7,4,7
新莊棒球場,A13,,seat,1.0.0,4,8,4,8
新莊棒球場,A13,,seat,1.0.0,4,9,4,9
新莊棒球場,A13,,seat,1.0.0,4,10,4,10
新莊棒球場,A13,,seat,1.0.0,4,11,4,11
新莊棒球場,A13,,seat,1.0.0,4,12,4,12
新莊棒球場,A13,,seat,1.0.0,4,13,4,13
新莊棒球場,A13,,seat,1.0.0,4,14,4,14
新莊棒球場,A13,,seat,1.0.0,4,15,4,15
新莊棒球場,A13,,seat,1.0.0,4,16,4,16
新莊棒球場,A13,,seat,1.0.0,4,17,4,17
新莊棒球場,A13,,seat,1.0.0,5,5,5,5
新莊棒球場,A13,,seat,1.0.0,5,6,5,6
新莊棒球場,A13,,seat,1.0.0,5,7,5,7
新莊棒球場,A13,,seat,1.0.0,5,8,5,8
新莊棒球場,A13,,seat,1.0.0,5,9,5,9
新莊棒球場,A13,,seat,1.0.0,5,10,5,10
新莊棒球場,A13,,seat,1.0.0,5,11,5,11
新莊棒球場,A13,,seat,1.0.0,5,12,5,12
新莊棒球場,A13,,seat,1.0.0,5,13,5,13
新莊棒球場,A13,,seat,1.0.0,5,14,5,14
新莊棒球場,A13,,seat,1.0.0,5,15,5,15
新莊棒球場,A13,,seat,1.0.0,5,16,5,16
新莊棒球場,A13,,seat,1.0.0,5,17,5,17
新莊棒球場,A13,,seat,1.0.0,6,5,6,5
新莊棒球場,A13,,seat,1.0.0,6,6,6,6
新莊棒球場,A13,,seat,1.0.0,6,7,6,7
新莊棒球場,A13,,seat,1.0.0,6,8,6,8
新莊棒球場,A13,,seat,1.0.0,6,9,6,9
新莊棒球場,A13,,seat,1.0.0,6,10,6,10
新莊棒球場,A13,,seat,1.0.0,6,11,6,11
新莊棒球場,A13,,seat,1.0.0,6,12,6,12
新莊棒球場,A13,,seat,1.0.0,6,13,6,13
新莊棒球場,A13,,seat,1.0.0,6,14,6,14
新莊棒球場,A13,,seat,1.0.0,6,15,6,15
新莊棒球場,A13,,seat,1.0.0,6,16,6,16
新莊棒球場,A13,,seat,1.0.0,6,17,6,17
