field,zone,name,spaceType,version,colNumber,rowNumber,positionColNumber,positionRowNumber
新莊棒球場,C1,,seat,1.0.0,1,6,1,6
新莊棒球場,C1,,seat,1.0.0,1,7,1,7
新莊棒球場,C1,,seat,1.0.0,1,8,1,8
新莊棒球場,C1,,seat,1.0.0,2,6,2,6
新莊棒球場,C1,,seat,1.0.0,2,7,2,7
新莊棒球場,C1,,seat,1.0.0,2,8,2,8
新莊棒球場,C1,,seat,1.0.0,3,6,3,6
新莊棒球場,C1,,seat,1.0.0,3,7,3,7
新莊棒球場,C1,,seat,1.0.0,3,8,3,8
新莊棒球場,C2,,seat,1.0.0,1,6,1,6
新莊棒球場,C2,,seat,1.0.0,1,7,1,7
新莊棒球場,C2,,seat,1.0.0,1,8,1,8
新莊棒球場,C2,,seat,1.0.0,2,6,2,6
新莊棒球場,C2,,seat,1.0.0,2,7,2,7
新莊棒球場,C2,,seat,1.0.0,2,8,2,8
新莊棒球場,C2,,seat,1.0.0,3,6,3,6
新莊棒球場,C2,,seat,1.0.0,3,7,3,7
新莊棒球場,C2,,seat,1.0.0,3,8,3,8
