field,zone,name,spaceType,version,colNumber,rowNumber,positionColNumber,positionRowNumber
新莊棒球場,C11,,seat,1.0.0,1,1,1,1
新莊棒球場,C11,,seat,1.0.0,1,2,1,2
新莊棒球場,C11,,seat,1.0.0,1,3,1,3
新莊棒球場,C11,,seat,1.0.0,1,4,1,4
新莊棒球場,C11,,seat,1.0.0,1,5,1,5
新莊棒球場,C11,,seat,1.0.0,1,6,1,6
新莊棒球場,C11,,seat,1.0.0,1,7,1,7
新莊棒球場,C11,,pillar,1.0.0,1,8,1,8
新莊棒球場,C11,,pillar,1.0.0,1,9,1,9
新莊棒球場,C11,,seat,1.0.0,2,1,2,1
新莊棒球場,C11,,seat,1.0.0,2,2,2,2
新莊棒球場,C11,,seat,1.0.0,2,3,2,3
新莊棒球場,C11,,seat,1.0.0,2,4,2,4
新莊棒球場,C11,,seat,1.0.0,2,5,2,5
新莊棒球場,C11,,seat,1.0.0,2,6,2,6
新莊棒球場,C11,,seat,1.0.0,2,7,2,7
新莊棒球場,C11,,seat,1.0.0,2,8,2,8
新莊棒球場,C11,,pillar,1.0.0,2,9,2,9
新莊棒球場,C11,,seat,1.0.0,3,1,3,1
新莊棒球場,C11,,seat,1.0.0,3,2,3,2
新莊棒球場,C11,,seat,1.0.0,3,3,3,3
新莊棒球場,C11,,seat,1.0.0,3,4,3,4
新莊棒球場,C11,,seat,1.0.0,3,5,3,5
新莊棒球場,C11,,seat,1.0.0,3,6,3,6
新莊棒球場,C11,,seat,1.0.0,3,7,3,7
新莊棒球場,C11,,seat,1.0.0,3,8,3,8
新莊棒球場,C11,,pillar,1.0.0,3,9,3,9
新莊棒球場,C11,,seat,1.0.0,4,1,4,1
新莊棒球場,C11,,seat,1.0.0,4,2,4,2
新莊棒球場,C11,,seat,1.0.0,4,3,4,3
新莊棒球場,C11,,seat,1.0.0,4,4,4,4
新莊棒球場,C11,,seat,1.0.0,4,5,4,5
新莊棒球場,C11,,seat,1.0.0,4,6,4,6
新莊棒球場,C11,,seat,1.0.0,4,7,4,7
新莊棒球場,C11,,seat,1.0.0,4,8,4,8
新莊棒球場,C11,,pillar,1.0.0,4,9,4,9
新莊棒球場,C11,,seat,1.0.0,5,1,5,1
新莊棒球場,C11,,seat,1.0.0,5,2,5,2
新莊棒球場,C11,,seat,1.0.0,5,3,5,3
新莊棒球場,C11,,seat,1.0.0,5,4,5,4
新莊棒球場,C11,,seat,1.0.0,5,5,5,5
新莊棒球場,C11,,seat,1.0.0,5,6,5,6
新莊棒球場,C11,,seat,1.0.0,5,7,5,7
新莊棒球場,C11,,seat,1.0.0,5,8,5,8
新莊棒球場,C11,,seat,1.0.0,5,9,5,9
新莊棒球場,C11,,seat,1.0.0,6,1,6,1
新莊棒球場,C11,,seat,1.0.0,6,2,6,2
新莊棒球場,C11,,seat,1.0.0,6,3,6,3
新莊棒球場,C11,,seat,1.0.0,6,4,6,4
新莊棒球場,C11,,seat,1.0.0,6,5,6,5
新莊棒球場,C11,,seat,1.0.0,6,6,6,6
新莊棒球場,C11,,seat,1.0.0,6,7,6,7
新莊棒球場,C11,,seat,1.0.0,6,8,6,8
新莊棒球場,C11,,seat,1.0.0,6,9,6,9
