field,zone,name,spaceType,version,colNumber,rowNumber,positionColNumber,positionRowNumber
新莊棒球場,E,,seat,1.0.0,1,1,1,1
新莊棒球場,E,,seat,1.0.0,2,1,2,1
新莊棒球場,E,,seat,1.0.0,3,1,3,1
新莊棒球場,E,,seat,1.0.0,4,1,4,1
新莊棒球場,E,,seat,1.0.0,5,1,5,1
新莊棒球場,E,,seat,1.0.0,1,2,1,2
新莊棒球場,E,,seat,1.0.0,2,2,2,2
新莊棒球場,E,,seat,1.0.0,3,2,3,2
新莊棒球場,E,,seat,1.0.0,4,2,4,2
新莊棒球場,E,,seat,1.0.0,5,2,5,2
新莊棒球場,E,,seat,1.0.0,6,2,6,2
新莊棒球場,E,,seat,1.0.0,7,2,7,2
新莊棒球場,E,,seat,1.0.0,8,2,8,2
新莊棒球場,E,,seat,1.0.0,9,2,9,2
新莊棒球場,E,,seat,1.0.0,10,2,10,2
新莊棒球場,E,B1,group,1.0.0,,,2,3
新莊棒球場,E,B2,group,1.0.0,,,5,3
新莊棒球場,E,B3,group,1.0.0,,,8,3
新莊棒球場,E,B4,group,1.0.0,,,12,3
新莊棒球場,E,A1,group,1.0.0,,,12,2
新莊棒球場,E,C1,group,1.0.0,,,2,4
新莊棒球場,E,C2,group,1.0.0,,,5,4
新莊棒球場,E,C3,group,1.0.0,,,8,4
新莊棒球場,E,C4,group,1.0.0,,,12,4
新莊棒球場,E,D1,group,1.0.0,,,2,5
新莊棒球場,E,D2,group,1.0.0,,,5,5
新莊棒球場,E,D3,group,1.0.0,,,8,5
新莊棒球場,E,D4,group,1.0.0,,,12,5
新莊棒球場,E,E1,group,1.0.0,,,2,6
新莊棒球場,E,E2,group,1.0.0,,,5,6
新莊棒球場,E,E3,group,1.0.0,,,8,6
新莊棒球場,E,E4,group,1.0.0,,,12,6
新莊棒球場,E,F1,group,1.0.0,,,2,7
新莊棒球場,E,F2,group,1.0.0,,,8,7
新莊棒球場,E,F3,group,1.0.0,,,12,7
新莊棒球場,E,,aisle,1.0.0,,,11,1
新莊棒球場,E,,aisle,1.0.0,,,11,2
新莊棒球場,E,,aisle,1.0.0,,,11,3
新莊棒球場,E,,aisle,1.0.0,,,11,4
新莊棒球場,E,,aisle,1.0.0,,,11,5
新莊棒球場,E,,aisle,1.0.0,,,11,6
新莊棒球場,E,,aisle,1.0.0,,,11,7
