field,zone,spaceType,version,colNumber,rowNumber
樂天桃園棒球場,西下A,pillar,1.0.0,1,1
樂天桃園棒球場,西下A,pillar,1.0.0,1,2
樂天桃園棒球場,西下A,pillar,1.0.0,1,3
樂天桃園棒球場,西下A,pillar,1.0.0,1,4
樂天桃園棒球場,西下A,pillar,1.0.0,1,5
樂天桃園棒球場,西下A,pillar,1.0.0,1,6
樂天桃園棒球場,西下A,pillar,1.0.0,1,7
樂天桃園棒球場,西下A,pillar,1.0.0,1,8
樂天桃園棒球場,西下A,pillar,1.0.0,1,9
樂天桃園棒球場,西下A,pillar,1.0.0,1,10
樂天桃園棒球場,西下A,pillar,1.0.0,1,11
樂天桃園棒球場,西下A,pillar,1.0.0,1,12
樂天桃園棒球場,西下A,pillar,1.0.0,1,13
樂天桃園棒球場,西下A,pillar,1.0.0,1,14
樂天桃園棒球場,西下A,pillar,1.0.0,1,15
樂天桃園棒球場,西下A,pillar,1.0.0,1,16
樂天桃園棒球場,西下A,pillar,1.0.0,1,17
樂天桃園棒球場,西下A,pillar,1.0.0,1,18
樂天桃園棒球場,西下A,pillar,1.0.0,1,19
樂天桃園棒球場,西下A,pillar,1.0.0,2,1
樂天桃園棒球場,西下A,pillar,1.0.0,2,2
樂天桃園棒球場,西下A,pillar,1.0.0,2,3
樂天桃園棒球場,西下A,pillar,1.0.0,2,4
樂天桃園棒球場,西下A,pillar,1.0.0,2,5
樂天桃園棒球場,西下A,pillar,1.0.0,2,6
樂天桃園棒球場,西下A,pillar,1.0.0,2,7
樂天桃園棒球場,西下A,pillar,1.0.0,2,8
樂天桃園棒球場,西下A,pillar,1.0.0,2,9
樂天桃園棒球場,西下A,pillar,1.0.0,2,10
樂天桃園棒球場,西下A,seat,1.0.0,2,11
樂天桃園棒球場,西下A,seat,1.0.0,2,12
樂天桃園棒球場,西下A,seat,1.0.0,2,13
樂天桃園棒球場,西下A,seat,1.0.0,2,14
樂天桃園棒球場,西下A,seat,1.0.0,2,15
樂天桃園棒球場,西下A,seat,1.0.0,2,16
樂天桃園棒球場,西下A,seat,1.0.0,2,17
樂天桃園棒球場,西下A,seat,1.0.0,2,18
樂天桃園棒球場,西下A,seat,1.0.0,2,19
樂天桃園棒球場,西下A,pillar,1.0.0,3,1
樂天桃園棒球場,西下A,pillar,1.0.0,3,2
樂天桃園棒球場,西下A,pillar,1.0.0,3,3
樂天桃園棒球場,西下A,pillar,1.0.0,3,4
樂天桃園棒球場,西下A,pillar,1.0.0,3,5
樂天桃園棒球場,西下A,pillar,1.0.0,3,6
樂天桃園棒球場,西下A,pillar,1.0.0,3,7
樂天桃園棒球場,西下A,pillar,1.0.0,3,8
樂天桃園棒球場,西下A,pillar,1.0.0,3,9
樂天桃園棒球場,西下A,pillar,1.0.0,3,10
樂天桃園棒球場,西下A,seat,1.0.0,3,11
樂天桃園棒球場,西下A,seat,1.0.0,3,12
樂天桃園棒球場,西下A,seat,1.0.0,3,13
樂天桃園棒球場,西下A,seat,1.0.0,3,14
樂天桃園棒球場,西下A,seat,1.0.0,3,15
樂天桃園棒球場,西下A,seat,1.0.0,3,16
樂天桃園棒球場,西下A,seat,1.0.0,3,17
