field,zone,name,spaceType,version,colNumber,rowNumber,positionColNumber,positionRowNumber
樂天桃園棒球場,東上E,,seat,1.0.0,1,1,1,1
樂天桃園棒球場,東上E,,seat,1.0.0,1,2,1,2
樂天桃園棒球場,東上E,,seat,1.0.0,1,3,1,3
樂天桃園棒球場,東上E,,aisle,1.0.0,,,1,4
樂天桃園棒球場,東上E,,seat,1.0.0,1,4,1,5
樂天桃園棒球場,東上E,,seat,1.0.0,1,5,1,6
樂天桃園棒球場,東上E,,seat,1.0.0,1,6,1,7
樂天桃園棒球場,東上E,,seat,1.0.0,1,7,1,8
樂天桃園棒球場,東上E,,seat,1.0.0,1,8,1,9
樂天桃園棒球場,東上E,,seat,1.0.0,1,9,1,10
樂天桃園棒球場,東上E,,seat,1.0.0,1,10,1,11
樂天桃園棒球場,東上E,,seat,1.0.0,1,11,1,12
樂天桃園棒球場,東上E,,seat,1.0.0,1,12,1,13
樂天桃園棒球場,東上E,,seat,1.0.0,1,13,1,14
樂天桃園棒球場,東上E,,seat,1.0.0,1,14,1,15
樂天桃園棒球場,東上E,,seat,1.0.0,2,1,2,1
樂天桃園棒球場,東上E,,seat,1.0.0,2,2,2,2
樂天桃園棒球場,東上E,,seat,1.0.0,2,3,2,3
樂天桃園棒球場,東上E,,aisle,1.0.0,,,2,4
樂天桃園棒球場,東上E,,seat,1.0.0,2,4,2,5
樂天桃園棒球場,東上E,,seat,1.0.0,2,5,2,6
樂天桃園棒球場,東上E,,seat,1.0.0,2,6,2,7
樂天桃園棒球場,東上E,,seat,1.0.0,2,7,2,8
樂天桃園棒球場,東上E,,seat,1.0.0,2,8,2,9
樂天桃園棒球場,東上E,,seat,1.0.0,2,9,2,10
樂天桃園棒球場,東上E,,seat,1.0.0,2,10,2,11
樂天桃園棒球場,東上E,,seat,1.0.0,2,11,2,12
樂天桃園棒球場,東上E,,seat,1.0.0,2,12,2,13
樂天桃園棒球場,東上E,,seat,1.0.0,2,13,2,14
樂天桃園棒球場,東上E,,seat,1.0.0,2,14,2,15
樂天桃園棒球場,東上E,,seat,1.0.0,3,1,3,1
樂天桃園棒球場,東上E,,seat,1.0.0,3,2,3,2
樂天桃園棒球場,東上E,,seat,1.0.0,3,3,3,3
樂天桃園棒球場,東上E,,aisle,1.0.0,,,3,4
樂天桃園棒球場,東上E,,seat,1.0.0,3,4,3,5
樂天桃園棒球場,東上E,,seat,1.0.0,3,5,3,6
樂天桃園棒球場,東上E,,seat,1.0.0,3,6,3,7
樂天桃園棒球場,東上E,,seat,1.0.0,3,7,3,8
樂天桃園棒球場,東上E,,seat,1.0.0,3,8,3,9
樂天桃園棒球場,東上E,,seat,1.0.0,3,9,3,10
樂天桃園棒球場,東上E,,seat,1.0.0,3,10,3,11
樂天桃園棒球場,東上E,,seat,1.0.0,3,11,3,12
樂天桃園棒球場,東上E,,seat,1.0.0,3,12,3,13
樂天桃園棒球場,東上E,,seat,1.0.0,3,13,3,14
樂天桃園棒球場,東上E,,seat,1.0.0,3,14,3,15
樂天桃園棒球場,東上E,,seat,1.0.0,4,1,4,1
樂天桃園棒球場,東上E,,seat,1.0.0,4,2,4,2
樂天桃園棒球場,東上E,,seat,1.0.0,4,3,4,3
樂天桃園棒球場,東上E,,aisle,1.0.0,,,4,4
樂天桃園棒球場,東上E,,seat,1.0.0,4,4,4,5
樂天桃園棒球場,東上E,,seat,1.0.0,4,5,4,6
樂天桃園棒球場,東上E,,seat,1.0.0,4,6,4,7
樂天桃園棒球場,東上E,,seat,1.0.0,4,7,4,8
樂天桃園棒球場,東上E,,seat,1.0.0,4,8,4,9
樂天桃園棒球場,東上E,,seat,1.0.0,4,9,4,10
樂天桃園棒球場,東上E,,seat,1.0.0,4,10,4,11
樂天桃園棒球場,東上E,,seat,1.0.0,4,11,4,12
樂天桃園棒球場,東上E,,seat,1.0.0,4,12,4,13
樂天桃園棒球場,東上E,,seat,1.0.0,4,13,4,14
樂天桃園棒球場,東上E,,seat,1.0.0,4,14,4,15
樂天桃園棒球場,東上E,,seat,1.0.0,5,1,5,1
