field,zone,name,spaceType,version,colNumber,rowNumber,positionColNumber,positionRowNumber
樂天桃園棒球場,東上M,,seat,1.0.0,1,1,1,1
樂天桃園棒球場,東上M,,seat,1.0.0,2,1,2,1
樂天桃園棒球場,東上M,,seat,1.0.0,3,1,3,1
樂天桃園棒球場,東上M,,seat,1.0.0,4,1,4,1
樂天桃園棒球場,東上M,,seat,1.0.0,5,1,5,1
樂天桃園棒球場,東上M,,seat,1.0.0,6,1,6,1
樂天桃園棒球場,東上M,,seat,1.0.0,7,1,7,1
樂天桃園棒球場,東上M,,seat,1.0.0,8,1,8,1
樂天桃園棒球場,東上M,,seat,1.0.0,9,1,9,1
樂天桃園棒球場,東上M,,seat,1.0.0,10,1,10,1
樂天桃園棒球場,東上M,,seat,1.0.0,11,1,11,1
樂天桃園棒球場,東上M,,seat,1.0.0,12,1,12,1
樂天桃園棒球場,東上M,,seat,1.0.0,13,1,13,1
樂天桃園棒球場,東上M,,seat,1.0.0,14,1,14,1
樂天桃園棒球場,東上M,,seat,1.0.0,15,1,15,1
樂天桃園棒球場,東上M,,seat,1.0.0,16,1,16,1
樂天桃園棒球場,東上M,,seat,1.0.0,17,1,17,1
樂天桃園棒球場,東上M,,seat,1.0.0,18,1,18,1
樂天桃園棒球場,東上M,,seat,1.0.0,19,1,19,1
樂天桃園棒球場,東上M,,seat,1.0.0,20,1,20,1
樂天桃園棒球場,東上M,,seat,1.0.0,21,1,21,1
樂天桃園棒球場,東上M,,seat,1.0.0,22,1,22,1
樂天桃園棒球場,東上M,,seat,1.0.0,1,2,1,2
樂天桃園棒球場,東上M,,seat,1.0.0,2,2,2,2
樂天桃園棒球場,東上M,,seat,1.0.0,3,2,3,2
樂天桃園棒球場,東上M,,seat,1.0.0,4,2,4,2
樂天桃園棒球場,東上M,,seat,1.0.0,5,2,5,2
樂天桃園棒球場,東上M,,seat,1.0.0,6,2,6,2
樂天桃園棒球場,東上M,,seat,1.0.0,7,2,7,2
樂天桃園棒球場,東上M,,seat,1.0.0,8,2,8,2
樂天桃園棒球場,東上M,,seat,1.0.0,9,2,9,2
樂天桃園棒球場,東上M,,seat,1.0.0,10,2,10,2
樂天桃園棒球場,東上M,,seat,1.0.0,11,2,11,2
樂天桃園棒球場,東上M,,seat,1.0.0,12,2,12,2
樂天桃園棒球場,東上M,,seat,1.0.0,13,2,13,2
樂天桃園棒球場,東上M,,seat,1.0.0,14,2,14,2
