field,zone,name,spaceType,version,colNumber,rowNumber,positionColNumber,positionRowNumber
樂天桃園棒球場,東下F,,seat,1.0.0,1,4,1,4
樂天桃園棒球場,東下F,,seat,1.0.0,2,4,2,4
樂天桃園棒球場,東下F,,seat,1.0.0,3,4,3,4
樂天桃園棒球場,東下F,,seat,1.0.0,4,4,4,4
樂天桃園棒球場,東下F,,seat,1.0.0,5,4,5,4
樂天桃園棒球場,東下F,,seat,1.0.0,6,4,6,4
樂天桃園棒球場,東下F,,seat,1.0.0,7,4,7,4
樂天桃園棒球場,東下F,,seat,1.0.0,8,4,8,4
樂天桃園棒球場,東下F,,seat,1.0.0,9,4,9,4
樂天桃園棒球場,東下F,,seat,1.0.0,10,4,10,4
樂天桃園棒球場,東下F,,seat,1.0.0,11,4,11,4
樂天桃園棒球場,東下F,,seat,1.0.0,12,4,12,4
樂天桃園棒球場,東下F,,seat,1.0.0,13,4,13,4
樂天桃園棒球場,東下F,,seat,1.0.0,14,4,14,4
樂天桃園棒球場,東下F,,seat,1.0.0,15,4,15,4
樂天桃園棒球場,東下F,,seat,1.0.0,1,5,1,5
樂天桃園棒球場,東下F,,seat,1.0.0,2,5,2,5
樂天桃園棒球場,東下F,,seat,1.0.0,3,5,3,5
樂天桃園棒球場,東下F,,seat,1.0.0,4,5,4,5
樂天桃園棒球場,東下F,,seat,1.0.0,5,5,5,5
樂天桃園棒球場,東下F,,seat,1.0.0,6,5,6,5
樂天桃園棒球場,東下F,,seat,1.0.0,7,5,7,5
樂天桃園棒球場,東下F,,seat,1.0.0,8,5,8,5
樂天桃園棒球場,東下F,,seat,1.0.0,9,5,9,5
樂天桃園棒球場,東下F,,seat,1.0.0,10,5,10,5
樂天桃園棒球場,東下F,,seat,1.0.0,11,5,11,5
樂天桃園棒球場,東下F,,seat,1.0.0,12,5,12,5
樂天桃園棒球場,東下F,,seat,1.0.0,13,5,13,5
樂天桃園棒球場,東下F,,seat,1.0.0,14,5,14,5
樂天桃園棒球場,東下F,,seat,1.0.0,15,5,15,5
樂天桃園棒球場,東下F,,seat,1.0.0,1,6,1,6
樂天桃園棒球場,東下F,,seat,1.0.0,2,6,2,6
樂天桃園棒球場,東下F,,seat,1.0.0,3,6,3,6
樂天桃園棒球場,東下F,,seat,1.0.0,4,6,4,6
樂天桃園棒球場,東下F,,seat,1.0.0,5,6,5,6
樂天桃園棒球場,東下F,,seat,1.0.0,6,6,6,6
樂天桃園棒球場,東下F,,seat,1.0.0,7,6,7,6
樂天桃園棒球場,東下F,,seat,1.0.0,8,6,8,6
樂天桃園棒球場,東下F,,seat,1.0.0,9,6,9,6
樂天桃園棒球場,東下F,,seat,1.0.0,10,6,10,6
樂天桃園棒球場,東下F,,seat,1.0.0,11,6,11,6
樂天桃園棒球場,東下F,,seat,1.0.0,12,6,12,6
樂天桃園棒球場,東下F,,seat,1.0.0,13,6,13,6
樂天桃園棒球場,東下F,,seat,1.0.0,14,6,14,6
樂天桃園棒球場,東下F,,seat,1.0.0,15,6,15,6
樂天桃園棒球場,東下F,,seat,1.0.0,1,7,1,7
樂天桃園棒球場,東下F,,seat,1.0.0,2,7,2,7
樂天桃園棒球場,東下F,,seat,1.0.0,3,7,3,7
樂天桃園棒球場,東下F,,seat,1.0.0,4,7,4,7
樂天桃園棒球場,東下F,,seat,1.0.0,5,7,5,7
樂天桃園棒球場,東下F,,seat,1.0.0,6,7,6,7
樂天桃園棒球場,東下F,,seat,1.0.0,7,7,7,7
樂天桃園棒球場,東下F,,seat,1.0.0,8,7,8,7
樂天桃園棒球場,東下F,,seat,1.0.0,9,7,9,7
樂天桃園棒球場,東下F,,seat,1.0.0,10,7,10,7
樂天桃園棒球場,東下F,,seat,1.0.0,11,7,11,7
樂天桃園棒球場,東下F,,seat,1.0.0,12,7,12,7
樂天桃園棒球場,東下F,,seat,1.0.0,13,7,13,7
樂天桃園棒球場,東下F,,seat,1.0.0,14,7,14,7
樂天桃園棒球場,東下F,,seat,1.0.0,15,7,15,7
樂天桃園棒球場,東下F,,seat,1.0.0,1,8,1,8
樂天桃園棒球場,東下F,,seat,1.0.0,2,8,2,8
樂天桃園棒球場,東下F,,seat,1.0.0,3,8,3,8
樂天桃園棒球場,東下F,,seat,1.0.0,4,8,4,8
樂天桃園棒球場,東下F,,seat,1.0.0,5,8,5,8
樂天桃園棒球場,東下F,,seat,1.0.0,6,8,6,8
樂天桃園棒球場,東下F,,seat,1.0.0,7,8,7,8
樂天桃園棒球場,東下F,,seat,1.0.0,8,8,8,8
樂天桃園棒球場,東下F,,seat,1.0.0,9,8,9,8
樂天桃園棒球場,東下F,,seat,1.0.0,10,8,10,8
