field,zone,name,spaceType,version,colNumber,rowNumber,positionColNumber,positionRowNumber
樂天桃園棒球場,西下I,,seat,1.0.0,1,4,1,4
樂天桃園棒球場,西下I,,seat,1.0.0,1,5,1,5
樂天桃園棒球場,西下I,,seat,1.0.0,1,6,1,6
樂天桃園棒球場,西下I,,seat,1.0.0,1,7,1,7
樂天桃園棒球場,西下I,,seat,1.0.0,1,8,1,8
樂天桃園棒球場,西下I,,seat,1.0.0,1,9,1,9
樂天桃園棒球場,西下I,,seat,1.0.0,1,10,1,10
樂天桃園棒球場,西下I,,seat,1.0.0,1,11,1,11
樂天桃園棒球場,西下I,,seat,1.0.0,1,12,1,12
樂天桃園棒球場,西下I,,seat,1.0.0,1,13,1,13
樂天桃園棒球場,西下I,,aisle,1.0.0,,,1,14
樂天桃園棒球場,西下I,,seat,1.0.0,1,14,1,15
樂天桃園棒球場,西下I,,seat,1.0.0,1,15,1,16
樂天桃園棒球場,西下I,,seat,1.0.0,1,16,1,17
樂天桃園棒球場,西下I,,seat,1.0.0,1,17,1,18
樂天桃園棒球場,西下I,,seat,1.0.0,1,18,1,19
樂天桃園棒球場,西下I,,seat,1.0.0,1,19,1,20
樂天桃園棒球場,西下I,,seat,1.0.0,1,20,1,21
樂天桃園棒球場,西下I,,seat,1.0.0,2,4,2,4
樂天桃園棒球場,西下I,,seat,1.0.0,2,5,2,5
樂天桃園棒球場,西下I,,seat,1.0.0,2,6,2,6
樂天桃園棒球場,西下I,,seat,1.0.0,2,7,2,7
樂天桃園棒球場,西下I,,seat,1.0.0,2,8,2,8
樂天桃園棒球場,西下I,,seat,1.0.0,2,9,2,9
樂天桃園棒球場,西下I,,seat,1.0.0,2,10,2,10
樂天桃園棒球場,西下I,,seat,1.0.0,2,11,2,11
樂天桃園棒球場,西下I,,seat,1.0.0,2,12,2,12
樂天桃園棒球場,西下I,,seat,1.0.0,2,13,2,13
樂天桃園棒球場,西下I,,aisle,1.0.0,,,2,14
樂天桃園棒球場,西下I,,seat,1.0.0,2,14,2,15
樂天桃園棒球場,西下I,,seat,1.0.0,2,15,2,16
樂天桃園棒球場,西下I,,seat,1.0.0,2,16,2,17
樂天桃園棒球場,西下I,,seat,1.0.0,2,17,2,18
樂天桃園棒球場,西下I,,seat,1.0.0,2,18,2,19
樂天桃園棒球場,西下I,,seat,1.0.0,2,19,2,20
樂天桃園棒球場,西下I,,seat,1.0.0,2,20,2,21
樂天桃園棒球場,西下I,,seat,1.0.0,3,4,3,4
樂天桃園棒球場,西下I,,seat,1.0.0,3,5,3,5
樂天桃園棒球場,西下I,,seat,1.0.0,3,6,3,6
樂天桃園棒球場,西下I,,seat,1.0.0,3,7,3,7
樂天桃園棒球場,西下I,,seat,1.0.0,3,8,3,8
樂天桃園棒球場,西下I,,seat,1.0.0,3,9,3,9
樂天桃園棒球場,西下I,,seat,1.0.0,3,10,3,10
樂天桃園棒球場,西下I,,seat,1.0.0,3,11,3,11
樂天桃園棒球場,西下I,,seat,1.0.0,3,12,3,12
樂天桃園棒球場,西下I,,seat,1.0.0,3,13,3,13
樂天桃園棒球場,西下I,,aisle,1.0.0,,,3,14
樂天桃園棒球場,西下I,,seat,1.0.0,3,14,3,15
樂天桃園棒球場,西下I,,seat,1.0.0,3,15,3,16
樂天桃園棒球場,西下I,,seat,1.0.0,3,16,3,17
樂天桃園棒球場,西下I,,seat,1.0.0,3,17,3,18
樂天桃園棒球場,西下I,,seat,1.0.0,3,18,3,19
樂天桃園棒球場,西下I,,seat,1.0.0,3,19,3,20
樂天桃園棒球場,西下I,,seat,1.0.0,3,20,3,21
樂天桃園棒球場,西下I,,seat,1.0.0,4,4,4,4
樂天桃園棒球場,西下I,,seat,1.0.0,4,5,4,5
樂天桃園棒球場,西下I,,seat,1.0.0,4,6,4,6
樂天桃園棒球場,西下I,,seat,1.0.0,4,7,4,7
樂天桃園棒球場,西下I,,seat,1.0.0,4,8,4,8
樂天桃園棒球場,西下I,,seat,1.0.0,4,9,4,9
樂天桃園棒球場,西下I,,seat,1.0.0,4,10,4,10
樂天桃園棒球場,西下I,,seat,1.0.0,4,11,4,11
樂天桃園棒球場,西下I,,seat,1.0.0,4,12,4,12
樂天桃園棒球場,西下I,,seat,1.0.0,4,13,4,13
樂天桃園棒球場,西下I,,aisle,1.0.0,,,4,14
樂天桃園棒球場,西下I,,seat,1.0.0,4,14,4,15
樂天桃園棒球場,西下I,,seat,1.0.0,4,15,4,16
樂天桃園棒球場,西下I,,seat,1.0.0,4,16,4,17
樂天桃園棒球場,西下I,,seat,1.0.0,4,17,4,18
樂天桃園棒球場,西下I,,seat,1.0.0,4,18,4,19
樂天桃園棒球場,西下I,,seat,1.0.0,4,19,4,20
樂天桃園棒球場,西下I,,seat,1.0.0,4,20,4,21
樂天桃園棒球場,西下I,,seat,1.0.0,5,4,5,4
樂天桃園棒球場,西下I,,seat,1.0.0,5,5,5,5
樂天桃園棒球場,西下I,,seat,1.0.0,5,6,5,6
樂天桃園棒球場,西下I,,seat,1.0.0,5,7,5,7
樂天桃園棒球場,西下I,,seat,1.0.0,5,8,5,8
樂天桃園棒球場,西下I,,seat,1.0.0,5,9,5,9
樂天桃園棒球場,西下I,,seat,1.0.0,5,10,5,10
樂天桃園棒球場,西下I,,seat,1.0.0,5,11,5,11
樂天桃園棒球場,西下I,,seat,1.0.0,5,12,5,12
樂天桃園棒球場,西下I,,seat,1.0.0,5,13,5,13
樂天桃園棒球場,西下I,,aisle,1.0.0,,,5,14
樂天桃園棒球場,西下I,,seat,1.0.0,5,14,5,15
樂天桃園棒球場,西下I,,seat,1.0.0,5,15,5,16
樂天桃園棒球場,西下I,,seat,1.0.0,5,16,5,17
樂天桃園棒球場,西下I,,seat,1.0.0,5,17,5,18
樂天桃園棒球場,西下I,,seat,1.0.0,5,18,5,19
樂天桃園棒球場,西下I,,seat,1.0.0,5,19,5,20
樂天桃園棒球場,西下I,,seat,1.0.0,5,20,5,21
樂天桃園棒球場,西下I,,seat,1.0.0,6,4,6,4
樂天桃園棒球場,西下I,,seat,1.0.0,6,5,6,5
樂天桃園棒球場,西下I,,seat,1.0.0,6,6,6,6
樂天桃園棒球場,西下I,,seat,1.0.0,6,7,6,7
樂天桃園棒球場,西下I,,seat,1.0.0,6,8,6,8
樂天桃園棒球場,西下I,,seat,1.0.0,6,9,6,9
樂天桃園棒球場,西下I,,seat,1.0.0,6,10,6,10
樂天桃園棒球場,西下I,,seat,1.0.0,6,11,6,11
樂天桃園棒球場,西下I,,seat,1.0.0,6,12,6,12
樂天桃園棒球場,西下I,,seat,1.0.0,6,13,6,13
樂天桃園棒球場,西下I,,aisle,1.0.0,,,6,14
樂天桃園棒球場,西下I,,seat,1.0.0,6,14,6,15
樂天桃園棒球場,西下I,,seat,1.0.0,6,15,6,16
樂天桃園棒球場,西下I,,seat,1.0.0,6,16,6,17
樂天桃園棒球場,西下I,,seat,1.0.0,6,17,6,18
樂天桃園棒球場,西下I,,seat,1.0.0,6,18,6,19
樂天桃園棒球場,西下I,,seat,1.0.0,6,19,6,20
樂天桃園棒球場,西下I,,seat,1.0.0,6,20,6,21
樂天桃園棒球場,西下I,,seat,1.0.0,7,4,7,4
樂天桃園棒球場,西下I,,seat,1.0.0,7,5,7,5
樂天桃園棒球場,西下I,,seat,1.0.0,7,6,7,6
樂天桃園棒球場,西下I,,seat,1.0.0,7,7,7,7
樂天桃園棒球場,西下I,,seat,1.0.0,7,8,7,8
樂天桃園棒球場,西下I,,seat,1.0.0,7,9,7,9
樂天桃園棒球場,西下I,,seat,1.0.0,7,10,7,10
樂天桃園棒球場,西下I,,seat,1.0.0,7,11,7,11
樂天桃園棒球場,西下I,,seat,1.0.0,7,12,7,12
樂天桃園棒球場,西下I,,seat,1.0.0,7,13,7,13
樂天桃園棒球場,西下I,,aisle,1.0.0,,,7,14
