field,zone,name,spaceType,version,colNumber,rowNumber,positionColNumber,positionRowNumber
樂天桃園棒球場,西下R1,,seat,1.0.0,1,1,1,1
樂天桃園棒球場,西下R1,,seat,1.0.0,2,1,2,1
樂天桃園棒球場,西下R1,,seat,1.0.0,3,1,3,1
樂天桃園棒球場,西下R1,,seat,1.0.0,4,1,4,1
樂天桃園棒球場,西下R1,,seat,1.0.0,5,1,5,1
樂天桃園棒球場,西下R1,,seat,1.0.0,6,1,6,1
樂天桃園棒球場,西下R1,,seat,1.0.0,7,1,7,1
樂天桃園棒球場,西下R1,,seat,1.0.0,8,1,8,1
樂天桃園棒球場,西下R1,,seat,1.0.0,9,1,9,1
樂天桃園棒球場,西下R1,,seat,1.0.0,10,1,10,1
樂天桃園棒球場,西下R1,,seat,1.0.0,1,2,1,2
樂天桃園棒球場,西下R1,,seat,1.0.0,2,2,2,2
樂天桃園棒球場,西下R1,,seat,1.0.0,3,2,3,2
樂天桃園棒球場,西下R1,,seat,1.0.0,4,2,4,2
樂天桃園棒球場,西下R1,,seat,1.0.0,5,2,5,2
樂天桃園棒球場,西下R1,,seat,1.0.0,6,2,6,2
樂天桃園棒球場,西下R1,,seat,1.0.0,7,2,7,2
樂天桃園棒球場,西下R1,,seat,1.0.0,8,2,8,2
樂天桃園棒球場,西下R1,,seat,1.0.0,9,2,9,2
樂天桃園棒球場,西下R1,,seat,1.0.0,10,2,10,2
樂天桃園棒球場,西下R1,,seat,1.0.0,1,3,1,3
樂天桃園棒球場,西下R1,,seat,1.0.0,2,3,2,3
樂天桃園棒球場,西下R1,,seat,1.0.0,3,3,3,3
樂天桃園棒球場,西下R1,,seat,1.0.0,4,3,4,3
樂天桃園棒球場,西下R1,,seat,1.0.0,5,3,5,3
樂天桃園棒球場,西下R1,,seat,1.0.0,6,3,6,3
樂天桃園棒球場,西下R1,,seat,1.0.0,7,3,7,3
樂天桃園棒球場,西下R1,,seat,1.0.0,8,3,8,3
樂天桃園棒球場,西下R1,,seat,1.0.0,9,3,9,3
樂天桃園棒球場,西下R1,,seat,1.0.0,10,3,10,3
樂天桃園棒球場,西下R1,,seat,1.0.0,1,4,1,4
樂天桃園棒球場,西下R1,,seat,1.0.0,2,4,2,4
樂天桃園棒球場,西下R1,,seat,1.0.0,3,4,3,4
樂天桃園棒球場,西下R1,,seat,1.0.0,4,4,4,4
樂天桃園棒球場,西下R1,,seat,1.0.0,5,4,5,4
樂天桃園棒球場,西下R1,,seat,1.0.0,6,4,6,4
樂天桃園棒球場,西下R1,,seat,1.0.0,7,4,7,4
樂天桃園棒球場,西下R1,,seat,1.0.0,8,4,8,4
樂天桃園棒球場,西下R1,,seat,1.0.0,9,4,9,4
樂天桃園棒球場,西下R1,,seat,1.0.0,10,4,10,4
樂天桃園棒球場,西下R1,,seat,1.0.0,1,5,1,5
樂天桃園棒球場,西下R1,,seat,1.0.0,2,5,2,5
樂天桃園棒球場,西下R1,,seat,1.0.0,3,5,3,5
樂天桃園棒球場,西下R1,,seat,1.0.0,4,5,4,5
樂天桃園棒球場,西下R1,,seat,1.0.0,5,5,5,5
樂天桃園棒球場,西下R1,,seat,1.0.0,6,5,6,5
樂天桃園棒球場,西下R1,,seat,1.0.0,7,5,7,5
樂天桃園棒球場,西下R1,,seat,1.0.0,8,5,8,5
樂天桃園棒球場,西下R1,,seat,1.0.0,9,5,9,5
樂天桃園棒球場,西下R1,,seat,1.0.0,10,5,10,5
樂天桃園棒球場,西下R1,,seat,1.0.0,1,6,1,6
樂天桃園棒球場,西下R1,,seat,1.0.0,2,6,2,6
樂天桃園棒球場,西下R1,,seat,1.0.0,3,6,3,6
樂天桃園棒球場,西下R1,,seat,1.0.0,4,6,4,6
樂天桃園棒球場,西下R1,,seat,1.0.0,5,6,5,6
樂天桃園棒球場,西下R1,,seat,1.0.0,6,6,6,6
樂天桃園棒球場,西下R1,,seat,1.0.0,7,6,7,6
樂天桃園棒球場,西下R1,,seat,1.0.0,8,6,8,6
樂天桃園棒球場,西下R1,,seat,1.0.0,9,6,9,6
樂天桃園棒球場,西下R1,,seat,1.0.0,10,6,10,6
樂天桃園棒球場,西下R1,,seat,1.0.0,1,7,1,7
樂天桃園棒球場,西下R1,,seat,1.0.0,2,7,2,7
樂天桃園棒球場,西下R1,,seat,1.0.0,3,7,3,7
樂天桃園棒球場,西下R1,,seat,1.0.0,4,7,4,7
樂天桃園棒球場,西下R1,,seat,1.0.0,5,7,5,7
樂天桃園棒球場,西下R1,,seat,1.0.0,6,7,6,7
樂天桃園棒球場,西下R1,,seat,1.0.0,7,7,7,7
樂天桃園棒球場,西下R1,,seat,1.0.0,8,7,8,7
樂天桃園棒球場,西下R1,,seat,1.0.0,9,7,9,7
樂天桃園棒球場,西下R1,,seat,1.0.0,10,7,10,7
樂天桃園棒球場,西下R1,,seat,1.0.0,1,8,1,8
樂天桃園棒球場,西下R1,,seat,1.0.0,2,8,2,8
樂天桃園棒球場,西下R1,,seat,1.0.0,3,8,3,8
樂天桃園棒球場,西下R1,,seat,1.0.0,4,8,4,8
樂天桃園棒球場,西下R1,,seat,1.0.0,5,8,5,8
樂天桃園棒球場,西下R1,,seat,1.0.0,6,8,6,8
樂天桃園棒球場,西下R1,,seat,1.0.0,7,8,7,8
樂天桃園棒球場,西下R1,,seat,1.0.0,8,8,8,8
樂天桃園棒球場,西下R1,,seat,1.0.0,9,8,9,8
樂天桃園棒球場,西下R1,,seat,1.0.0,10,8,10,8
樂天桃園棒球場,西下R1,,seat,1.0.0,1,9,1,9
樂天桃園棒球場,西下R1,,seat,1.0.0,2,9,2,9
樂天桃園棒球場,西下R1,,seat,1.0.0,3,9,3,9
樂天桃園棒球場,西下R1,,seat,1.0.0,4,9,4,9
樂天桃園棒球場,西下R1,,seat,1.0.0,5,9,5,9
樂天桃園棒球場,西下R1,,seat,1.0.0,6,9,6,9
樂天桃園棒球場,西下R1,,seat,1.0.0,7,9,7,9
樂天桃園棒球場,西下R1,,seat,1.0.0,8,9,8,9
樂天桃園棒球場,西下R1,,seat,1.0.0,9,9,9,9
樂天桃園棒球場,西下R1,,seat,1.0.0,10,9,10,9
樂天桃園棒球場,西下R1,,seat,1.0.0,1,10,1,10
樂天桃園棒球場,西下R1,,seat,1.0.0,2,10,2,10
樂天桃園棒球場,西下R1,,seat,1.0.0,3,10,3,10
樂天桃園棒球場,西下R1,,seat,1.0.0,4,10,4,10
樂天桃園棒球場,西下R1,,seat,1.0.0,5,10,5,10
樂天桃園棒球場,西下R1,,seat,1.0.0,6,10,6,10
樂天桃園棒球場,西下R1,,seat,1.0.0,7,10,7,10
樂天桃園棒球場,西下R1,,seat,1.0.0,8,10,8,10
樂天桃園棒球場,西下R1,,seat,1.0.0,9,10,9,10
樂天桃園棒球場,西下R1,,seat,1.0.0,10,10,10,10
樂天桃園棒球場,西下R1,,seat,1.0.0,1,11,1,11
樂天桃園棒球場,西下R1,,seat,1.0.0,2,11,2,11
樂天桃園棒球場,西下R1,,seat,1.0.0,3,11,3,11
樂天桃園棒球場,西下R1,,seat,1.0.0,4,11,4,11
樂天桃園棒球場,西下R1,,seat,1.0.0,5,11,5,11
樂天桃園棒球場,西下R1,,seat,1.0.0,6,11,6,11
樂天桃園棒球場,西下R1,,seat,1.0.0,7,11,7,11
樂天桃園棒球場,西下R1,,seat,1.0.0,8,11,8,11
樂天桃園棒球場,西下R1,,seat,1.0.0,9,11,9,11
樂天桃園棒球場,西下R1,,seat,1.0.0,10,11,10,11
樂天桃園棒球場,西下R1,,seat,1.0.0,1,12,1,12
樂天桃園棒球場,西下R1,,seat,1.0.0,2,12,2,12
樂天桃園棒球場,西下R1,,seat,1.0.0,3,12,3,12
樂天桃園棒球場,西下R1,,seat,1.0.0,4,12,4,12
樂天桃園棒球場,西下R1,,seat,1.0.0,5,12,5,12
樂天桃園棒球場,西下R1,,seat,1.0.0,6,12,6,12
樂天桃園棒球場,西下R1,,seat,1.0.0,7,12,7,12
樂天桃園棒球場,西下R1,,seat,1.0.0,8,12,8,12
樂天桃園棒球場,西下R1,,seat,1.0.0,9,12,9,12
樂天桃園棒球場,西下R1,,pillar,1.0.0,10,12,10,12
樂天桃園棒球場,西下R1,,seat,1.0.0,1,13,1,13
樂天桃園棒球場,西下R1,,seat,1.0.0,2,13,2,13
樂天桃園棒球場,西下R1,,seat,1.0.0,3,13,3,13
樂天桃園棒球場,西下R1,,seat,1.0.0,4,13,4,13
樂天桃園棒球場,西下R1,,seat,1.0.0,5,13,5,13
樂天桃園棒球場,西下R1,,seat,1.0.0,6,13,6,13
樂天桃園棒球場,西下R1,,seat,1.0.0,7,13,7,13
樂天桃園棒球場,西下R1,,pillar,1.0.0,8,13,8,13
樂天桃園棒球場,西下R1,,pillar,1.0.0,9,13,9,13
樂天桃園棒球場,西下R1,,pillar,1.0.0,10,13,10,13
